params,r2_mean,r2_std,size_aug_mean,size_aug_std,size_noaug_mean,size_noaug_std
"{'max_heavy': 17, 'max_ratio': 0.4043979122669294, 'min_common': 4, 'pearson_thresh': 0.5777097441797917, 'crmsd_thresh': 2.362007966822946, 'std_threshold': 2.63750902550045}",0.7190862507230724,0.08181219442901261,802.4,296.6989046154367,366.4,5.4258639865002145
"{'max_heavy': 20, 'max_ratio': 0.19984636134927497, 'min_common': 2, 'pearson_thresh': 0.4251108558109158, 'crmsd_thresh': 2.0815031919611346, 'std_threshold': 1.0573022943184514}",0.7094452454756066,0.08139618760580493,6020.6,764.646741966511,366.4,5.4258639865002145
"{'max_heavy': 15, 'max_ratio': 0.38693399800323414, 'min_common': 5, 'pearson_thresh': 0.5692574097330273, 'crmsd_thresh': 2.123733795695322, 'std_threshold': 0.849827820177997}",0.6923589798674803,0.0938437535542411,447.4,76.04630168522333,366.4,5.4258639865002145
"{'max_heavy': 20, 'max_ratio': 0.3994418837847098, 'min_common': 3, 'pearson_thresh': 0.16687142579324407, 'crmsd_thresh': 2.8062546112905, 'std_threshold': 2.823335726581513}",0.7113523538684438,0.05345023812678976,3456.0,627.0055821123126,366.4,5.4258639865002145
"{'max_heavy': 20, 'max_ratio': 0.2663818839703172, 'min_common': 4, 'pearson_thresh': 0.37405570985341063, 'crmsd_thresh': 0.8115575046691383, 'std_threshold': 1.8970670725606378}",0.7093343308811109,0.096816338361454,1176.6,453.1271786154523,366.4,5.4258639865002145
"{'max_heavy': 20, 'max_ratio': 0.2236097282186151, 'min_common': 2, 'pearson_thresh': 0.24955047114848064, 'crmsd_thresh': 2.630977391875659, 'std_threshold': 1.9655728062320452}",0.69526370410005,0.07778283108884476,6699.6,1038.6611767077848,366.4,5.4258639865002145
"{'max_heavy': 12, 'max_ratio': 0.12988365206913874, 'min_common': 2, 'pearson_thresh': 0.14402271672843223, 'crmsd_thresh': 1.3994800895366495, 'std_threshold': 0.6437127509663849}",0.6675213766346182,0.10485698248336979,1534.4,330.97770317651305,366.4,5.4258639865002145
"{'max_heavy': 17, 'max_ratio': 0.43539245558540185, 'min_common': 3, 'pearson_thresh': 0.2279674394449683, 'crmsd_thresh': 1.5095005387557894, 'std_threshold': 2.500351952512984}",0.7279620923913812,0.056590614014857585,1439.2,318.94413303900103,366.4,5.4258639865002145
"{'max_heavy': 19, 'max_ratio': 0.3244530565193901, 'min_common': 4, 'pearson_thresh': 0.18210003704655345, 'crmsd_thresh': 1.839100688117124, 'std_threshold': 0.5404653685164361}",0.7013006774311885,0.08848014981603934,911.6,292.02369766852826,366.4,5.4258639865002145
"{'max_heavy': 18, 'max_ratio': 0.33142772269727827, 'min_common': 2, 'pearson_thresh': 0.5738754733006504, 'crmsd_thresh': 2.9729699566550236, 'std_threshold': 1.9163633408232406}",0.6970594578374426,0.09553837232789593,4760.2,763.92601736032,366.4,5.4258639865002145
